UserID,NAME,GENDER,EMAIL,ID,PASSWORD,GOAL,COOKING_LEVEL
249a8f76-ce74-41e3-8889-df58707d85d4,이서윤,female,jbvhea7d@example.com,jbvhea7d,FwWroy9T@*,5,하
3125fe88-baed-4e0a-880a-be3b9b8fe8d5,한정식,female,xxymh3ma@example.com,xxymh3ma,zsoQuNkTe#,5,상
305a2d51-848b-42aa-9e62-a72a6169cd5c,김지훈,male,pnsfox8r@example.com,pnsfox8r,&&Pkgnncif,3,상
1b5701aa-3296-4c55-a7be-aa3b471da90e,김성진,male,ibvxcxf0@example.com,ibvxcxf0,k6!6uZ7rt8,7,하
675eb4cf-954f-47ee-8ba6-c549102de3f6,이준혁,female,b2351o35@example.com,b2351o35,YcsSp1US3k,5,하
04b38a53-9c42-48b8-b5e9-fa726d4f5065,최서현,female,83q398bn@example.com,83q398bn,FQJP5Tpkst,1,하
41ed3010-c762-476b-bf5f-aaa637f1a84c,김은경,female,3vy7sjol@example.com,3vy7sjol,1KSALuNVMw,4,하
e5b9a96c-bfde-47be-8144-c8769b2701a6,최영환,male,hepwhs1n@example.com,hepwhs1n,W1di8#81Ii,3,상
f39985d7-86fa-4bc2-b849-eda5933f09cf,김재현,female,6zyf8uq1@example.com,6zyf8uq1,@C@E1aI!KW,6,하
df17345f-5358-4921-a74f-52123cad6519,진영철,female,reddcn3n@example.com,reddcn3n,*l0a9FvnIU,3,하
37e15146-f273-4c14-afd2-16707af90b69,김종수,male,swzaaiun@example.com,swzaaiun,ZaPy9Ph0Mf,5,하
3ce06d97-8118-407b-a0db-1db3f8bef547,김성현,male,6mc201yo@example.com,6mc201yo,x6yBur!hXR,4,하
b5b7df48-85ef-43b0-8f17-202638c6b732,손영식,female,8x08fvee@example.com,8x08fvee,Cr05&lxOLU,3,상
043a96ae-8a9e-4357-9e7c-a67cc495e489,김미경,female,z3wxvd6m@example.com,z3wxvd6m,#0yyBKJY0b,4,하
cc41a468-88b8-47b3-bdb8-680711a79d9e,이영환,male,au5uldcb@example.com,au5uldcb,YkV9Q4uBY*,2,하
9b1ec23f-9ced-4417-be80-04e13c1d4009,이선영,female,nk5o5jcd@example.com,nk5o5jcd,zsi9ho&Qo&,4,상
3a1264c8-cee4-4fa9-b8c3-b48fb051874e,차아름,female,jcep5qf4@example.com,jcep5qf4,ck1gRE3UEi,6,상
63c1dd9c-2192-4d2b-9ca1-126336254508,김민서,male,xcgm0wf7@example.com,xcgm0wf7,xUjq3@*!Zf,1,하
7dd8f706-f06a-43bd-aeee-742c024f9558,백영순,male,i6nlsmoa@example.com,i6nlsmoa,TLy#NF1xrY,5,하
cdeb06fb-c309-4be4-8cf2-60b0f5265f3c,최성수,male,pfq9mlto@example.com,pfq9mlto,5FYzftxzTT,4,하
22728a1d-d1ed-41fa-960e-8e5119297b53,김윤서,female,a6pd8n96@example.com,a6pd8n96,J7wQw&B8Zo,5,상
c01c61ef-7822-410d-859d-0e7ade276e67,조예준,male,4u9g4qyw@example.com,4u9g4qyw,e#&&0IUTEy,2,상
4ee175d3-f882-4d9b-a94b-55c3ffa3652d,김종수,female,vjos7e6v@example.com,vjos7e6v,eFt*clo0rA,6,상
b26d9e66-9f25-47f5-9cc8-49fdb815347d,안준혁,male,hpx7odwb@example.com,hpx7odwb,r!OvqZVVSz,1,상
dd294973-481d-4ef0-8567-9b8ca4d2a0ae,서종수,male,7iua5v3t@example.com,7iua5v3t,2k@Uivxwyn,2,상
30f6f8fc-38aa-4257-8edc-1798cc488f89,이정남,male,3dcm5rc1@example.com,3dcm5rc1,SboHmzASA@,4,상
64a6bbcf-d927-4887-a3fd-398ff164e97a,강혜진,female,2fkbjsdc@example.com,2fkbjsdc,uzUN@7il70,5,하
b551750d-807e-47e9-bdbd-6bd110306ada,김광수,female,efa2ezrx@example.com,efa2ezrx,Zq&##amwvp,7,상
56286225-56b6-4e09-8385-2d097b713265,차지은,female,95ucg7wa@example.com,95ucg7wa,uXr0hFj6Pt,1,상
3b5dcdc3-9e6b-40a1-849e-00468b74eae4,하하은,male,monu7bjo@example.com,monu7bjo,egFwyN4urX,1,하
e1e0f6ff-cf7c-42c0-a9ee-e4eb222f74f6,이영수,male,hmxp7yoe@example.com,hmxp7yoe,xZ5XLjpC0m,7,상
7536192d-401d-4c1f-98b3-39db4d5eaaaa,이지현,female,ah899h3r@example.com,ah899h3r,@k3UtHYSVM,1,상
c4d9c519-9f44-429e-885d-188cb0c36326,엄은정,female,itaamk7u@example.com,itaamk7u,v@QXJXDZ01,7,상
9f9d194c-dfdf-4760-bed9-a8a1d219fe1f,이서연,female,73z2s6bv@example.com,73z2s6bv,HL8Nr7M@Q9,5,하
c2696d12-c33e-43a5-bade-68086bebdee9,이현준,male,s5v5qqoz@example.com,s5v5qqoz,hiEuiylvIp,5,하
33af44ad-b179-47da-a8cc-5afe9551082d,이경수,female,ngyz2ssp@example.com,ngyz2ssp,kncM2GvtbC,3,하
4326388a-210d-4920-8c40-024d1672b62e,이상현,female,kc2fwmru@example.com,kc2fwmru,St*5SuWtY&,7,하
24b64d94-8136-4a4a-be8d-05c3feb58098,김순자,female,hv0k14pc@example.com,hv0k14pc,x#DWjLMPWL,6,하
f2146f76-28ba-4a6e-a207-cd5c2e6feb95,이지아,male,dpfqw3nm@example.com,dpfqw3nm,E57KqDBMdY,4,상
854736ad-6f69-42fb-89cc-946a02caa47c,박승현,male,266w9mmp@example.com,266w9mmp,Y&!ryvVqUO,7,하
65aeb279-90d8-4f5d-b50e-8ad0163e8ebf,박지훈,female,wybzzj5c@example.com,wybzzj5c,iRDTgQSSxu,5,하
99607f5c-27d2-487d-8fc9-609d03e4cf07,박상훈,female,q5e0vk0q@example.com,q5e0vk0q,wHcUunrfxV,3,하
9ac672c0-b672-4580-948c-c5be4ccff693,문지원,male,ihvvrhd1@example.com,ihvvrhd1,O#@VZd*1f3,2,하
3a6f7e8e-c014-4f15-9960-c7313569ad19,황수민,male,4jubw8xo@example.com,4jubw8xo,STOeJYTah5,4,하
3f331b7c-854e-444b-ba18-91055960da46,박은영,male,3ew0961y@example.com,3ew0961y,fI6Z*&eQs7,7,상
bb8be2ad-ffbf-4bca-b10c-c47026bd2659,김경희,male,slblu5eq@example.com,slblu5eq,L&F#mTyim@,6,하
71a8445c-1b36-4e94-bddc-9b3160a539d4,신미경,male,qfp771he@example.com,qfp771he,t6ZM9q@08b,3,하
38c3868b-1d08-4618-95a6-81fc226e25a7,이지훈,male,1vq93wek@example.com,1vq93wek,r8m!4DC28B,7,하
65a5957d-5f7d-4f35-920d-7a42376d5669,허서현,female,7izrc6oq@example.com,7izrc6oq,i5gX!cxt@r,1,하
ca6b9e2c-3ec1-450f-8b1a-9075d1898d46,강선영,female,mwltye40@example.com,mwltye40,472RswIRbA,2,하
028516bd-653c-48c8-950e-4b2737b397a9,차우진,male,1loytdh7@example.com,1loytdh7,kVSJ2d*shM,1,상
8d78b8ed-f4fb-4df3-8aff-d862a1db54b4,양하윤,male,8bxjm5y0@example.com,8bxjm5y0,#s5EpX91OG,1,하
